groupID,Gene_Name,APA_direction,APA_sig,pvalue_up,pvalue_down,padj_up,padj_down,log2FC,padj,pvalue,FC_text_label,gene_label
ENSG00000111596,CNOT2,distal,no,0.705123740813815,0.757657140000905,1,1,2.46698054508754,1,0.705123740813815,no,no
ENSG00000111602,TIMELESS,distal,no,0.0573636890255963,0.484239328905044,0.996887893066444,1,4.19027457191885,0.996887893066444,0.0573636890255963,no,no
ENSG00000111615,KRR1,proximal,no,0.404873091000094,0.78024742372428,1,1,-3.19922570067241,1,0.404873091000094,no,no
ENSG00000111642,CHD4,distal,no,0.605685263381928,0.542725708466317,1,1,0.722391108230454,1,0.542725708466317,no,no
ENSG00000111647,BLTP3B,distal,no,0.606606271762755,0.548877294705663,1,1,0.187507814259021,1,0.548877294705663,no,no
ENSG00000111652,COPS7A,distal,no,0.242008887536805,0.0518595472783208,1,0.982189812464448,1.24176833456964,0.982189812464448,0.0518595472783208,no,no
ENSG00000111653,ING4,distal,no,0.653038688042462,0.596913701281397,1,1,0.428059899740936,1,0.596913701281397,no,no
ENSG00000111665,CDCA3,distal,no,0.933707078027053,0.952820232195051,1,1,2.48477112921552,1,0.933707078027053,no,no
ENSG00000111666,CHPT1,distal,no,0.78718834586582,0.756967410661946,1,1,1.13664627663667,1,0.756967410661946,no,no
ENSG00000111669,TPI1,proximal,no,0.28842593204969,0.576855521458449,1,1,-0.0679871834151697,1,0.28842593204969,no,no
ENSG00000111670,GNPTAB,distal,no,0.818918691003765,0.818918671733177,1,1,0.149168389870461,1,0.818918671733177,no,no
ENSG00000111707,SUDS3,distal,no,0.124646355047994,0.714377906120853,1,1,0.63890485570351,1,0.124646355047994,no,no
ENSG00000111711,GOLT1B,distal,no,0.156725735313614,0.930682809742337,1,1,0.717033397972401,1,0.156725735313614,no,no
